pu,nuts2id,EU_id
4900,216,1697
4901,216,1698
4902,216,1699
4903,216,1700
4904,216,1701
4905,216,1702
4906,216,1703
4907,216,1704
4908,97,1705
4909,97,1706
4910,97,1707
4911,97,1708
4912,97,1709
4913,97,1710
4914,97,1711
4915,97,1712
4916,97,1713
4917,97,1714
4918,97,1715
4919,97,1716
4920,97,1717
4921,97,1718
4922,97,1719
4923,97,1720
4924,97,1721
4925,97,1722
4926,97,1723
4927,97,1724
4928,97,1725
4929,97,1726
4930,97,1727
4931,97,1728
4932,97,1729
4933,97,1730
4934,97,1731
4935,97,1732
4986,216,1733
4987,216,1734
4988,216,1735
4989,216,1736
4990,216,1737
4991,216,1738
4992,216,1739
4993,216,1740
4994,216,1741
4995,216,1742
4996,216,1743
4997,216,1744
4998,216,1745
4999,216,1746
5000,216,1747
5001,216,1748
5002,216,1749
5003,216,1750
5004,216,1751
5005,216,1752
5006,216,1753
5007,216,1754
5008,216,1755
5009,216,1756
5010,216,1757
5011,216,1758
5012,216,1759
5013,216,1760
5014,216,1761
5015,216,1762
5016,216,1763
5017,216,1764
5018,216,1765
5019,216,1766
5020,216,1767
5021,216,1768
5022,216,1769
5023,216,1770
5024,216,1771
5025,97,1772
5026,97,1773
5027,97,1774
5028,97,1775
5029,97,1776
5030,97,1777
5031,97,1778
5032,97,1779
5033,97,1780
5034,97,1781
5035,97,1782
5036,97,1783
5037,97,1784
5038,97,1785
5039,97,1786
5040,97,1787
5041,97,1788
5042,97,1789
5043,97,1790
5044,97,1791
5045,97,1792
5046,97,1793
5047,97,1794
5048,97,1795
5049,97,1796
5050,95,1797
5051,95,1798
5104,216,1799
5105,216,1800
5106,216,1801
5107,216,1802
5108,216,1803
5109,216,1804
5110,216,1805
5111,216,1806
5112,216,1807
5113,216,1808
5114,216,1809
5115,216,1810
5116,216,1811
5117,216,1812
5118,216,1813
5119,216,1814
5120,216,1815
5121,216,1816
5122,216,1817
5123,216,1818
5124,216,1819
5125,216,1820
5126,216,1821
5127,216,1822
5128,216,1823
5129,216,1824
5130,216,1825
5131,216,1826
5132,216,1827
5133,216,1828
5134,216,1829
5135,216,1830
5136,216,1831
5137,216,1832
5138,216,1833
5139,216,1834
5140,216,1835
5141,216,1836
5142,216,1837
5143,216,1838
5144,97,1839
5145,97,1840
5146,97,1841
5147,97,1842
5148,97,1843
5149,97,1844
5150,97,1845
5151,97,1846
5152,97,1847
5153,97,1848
5154,97,1849
5155,97,1850
5156,97,1851
5157,97,1852
5158,97,1853
5159,97,1854
5160,97,1855
5161,97,1856
5162,97,1857
5163,97,1858
5164,97,1859
5165,97,1860
5166,97,1861
5167,97,1862
