speciesname,taxon_id
Armeria_soleirolii,8333551
Ranunculus_kykkoensis,3924925
Reseda_decursiva,3916426
Rosmarinus_tomentosus,10836683
Saxifraga_vayredana,3754220
Senecio_caespitosus,3108236
Senecio_nevadensis,3108888
Sideritis_cypria,3891669
Silene_hicesiae,5587273
Silene_orphanidis,5585543
Solenanthus_albanicus,4065077
Symphytum_cycladense,4067409
Asplenium_jahandiezii,8034974
Viola_cazorlensis,5663812
Viola_jaubertiana,5663499
Asyneuma_giganteum,3168262
Athamanta_cortiana,3633974
Brachytrupes_megacephalus,1716482
Asphodelus_bento-rainhae,2778450
Abies_nebrodensis,2685577
Hymenostemma_pseudanthemis,3132537
Arabis_kennedyae,5375066
Scilla_morrisii,2767291
